season,team,logo,offense_completion_percentage,offense_total_yards_gained_pass,offense_total_yards_gained_run,offense_ave_yards_gained_pass,offense_ave_yards_gained_run,offense_total_air_yards,offense_ave_air_yards,offense_total_yac,offense_ave_yac,offense_n_plays_pass,offense_n_plays_run,offense_n_interceptions,offense_n_fumbles_lost_pass,offense_n_fumbles_lost_run,offense_total_epa_pass,offense_total_epa_run,offense_ave_epa_pass,offense_ave_epa_run,offense_total_wpa_pass,offense_total_wpa_run,offense_ave_wpa_pass,offense_ave_wpa_run,offense_success_rate_pass,offense_success_rate_run,defense_completion_percentage,defense_total_yards_gained_pass,defense_total_yards_gained_run,defense_ave_yards_gained_pass,defense_ave_yards_gained_run,defense_total_air_yards,defense_ave_air_yards,defense_total_yac,defense_ave_yac,defense_n_plays_pass,defense_n_plays_run,defense_n_interceptions,defense_n_fumbles_lost_pass,defense_n_fumbles_lost_run,defense_total_epa_pass,defense_total_epa_run,defense_ave_epa_pass,defense_ave_epa_run,defense_total_wpa_pass,defense_total_wpa_run,defense_ave_wpa_pass,defense_ave_wpa_run,defense_success_rate_pass,defense_success_rate_run,points_scored,points_allowed,wins,losses,ties,score_differential,team_name,home_stadium,location,state,lat,long,mascot,live_mascots,conference,division,superbowl_wins,year_est
2008,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5795847750865052,3315,1785,5.73529411764706,4.2805755395683445,4516,8.4411214953271,1502,4.483582089552239,578,417,13,7,3,-2.806220672,7.10848903942815,-0.004855053,0.017046736305583,-0.806114546,0.4639075295211151,-0.001394662,0.0011124880803863,0.4653979238754326,0.4316546762589926,0.6024340770791076,3586,1719,7.273833671399597,4.112440191387558,4147,8.956803455723543,1605,5.404040404040405,493,418,13,2,1,77.45678873784914,-18.02829885,0.1571131617400588,-0.043129902,2.435572831077991,0.0681300168821812,0.0049403100021865,0.00016299047101000198,0.4665314401622717,0.3947368421052631,302,367,5,11,0,-65,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2009,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5625,3361,2046,6.001785714285713,4.725173210161662,4243,8.22286821705426,1521,4.828571428571428,560,433,10,8,4,-24.89667075,30.6593413669639,-0.044458341,0.0708067929952975,-1.275626941,1.5550311810555555,-0.002277905,0.0035912960301513,0.4160714285714285,0.4526558891454965,0.6546489563567365,3776,1880,7.165085388994308,4.253393665158372,3925,7.726377952755904,1759,5.098550724637681,527,442,15,1,8,126.02056170496338,-37.78690134,0.2391282005786784,-0.085490727,2.7021375368290688,-1.370890161,0.005127395705558,-0.003101561,0.4952561669829221,0.3891402714932125,290,380,7,9,0,-90,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2010,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.575098814229249,3065,2404,6.0573122529644285,4.7888446215139435,3953,8.446581196581198,1468,5.044673539518903,506,502,21,5,4,-19.70178601,34.900049777907796,-0.038936336,0.0695220115097765,1.15136796665217,1.124952241693676,0.0022754307641347,0.0022409407205053,0.4367588932806323,0.4581673306772907,0.620754716981132,4004,1954,7.554716981132074,4.765853658536585,4379,8.705765407554669,1769,5.376899696048632,530,410,13,3,1,114.87848664564731,-1.047664355,0.2167518615955606,-0.002555279,2.690345626412233,0.4588774064341555,0.0050761238234193,0.0011192131864247,0.5018867924528302,0.4146341463414634,353,419,8,8,0,-66,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2011,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.46875,2179,1985,4.255859375,4.1789473684210545,3578,7.645299145299149,1275,5.3125,512,475,15,4,3,-137.0059421,-48.47763693,-0.267589731,-0.102058183,-2.932099324,-1.302659146,-0.005726756,-0.00274244,0.3359375,0.3747368421052631,0.6014760147601477,3343,1688,6.167896678966788,4.038277511961722,4371,8.570588235294121,1542,4.730061349693252,542,418,17,4,5,4.144616496534901,-58.50251238,0.0076468939050459,-0.139958164,-0.17088973,-0.277151915,-0.000315295,-0.000663043,0.440959409594096,0.361244019138756,243,329,5,11,0,-86,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2012,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5141065830721003,3423,1376,5.365203761755488,3.8760563380281687,4996,8.569468267581474,1544,4.707317073170732,638,355,17,5,3,-89.25172593,-40.38234774,-0.139892987,-0.113753092,-0.628169243,-1.263123756,-0.000984591,-0.003558095,0.3981191222570531,0.3661971830985914,0.616636528028933,3834,2274,6.933092224231465,4.314990512333967,4505,8.468045112781954,1699,4.98240469208211,553,527,12,8,2,67.84681047465837,16.3756891971004,0.1226886265364527,0.031073414036244,2.798735242716049,0.920518701133267,0.0050610040555443,0.0017467148029094,0.4990958408679928,0.417457305502846,255,444,2,14,0,-189,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2013,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5427682737169517,3441,1263,5.351477449455678,3.359042553191491,3911,6.617597292724196,2078,5.954154727793696,643,376,21,3,3,-109.2118436,-64.57848183,-0.169847346,-0.171751281,-1.942626621,-1.57963407,-0.003021192,-0.004201154,0.405909797822706,0.3351063829787234,0.6103448275862068,3962,2128,6.8310344827586205,4.360655737704919,4608,8.40875912408759,1905,5.381355932203389,580,488,11,4,6,88.23814265693015,-1.699991527,0.152134728718845,-0.003483589,0.3386373051894963,0.6445394144034106,0.000583857422740511,0.0013207774885315,0.460344827586207,0.4262295081967213,247,449,4,12,0,-202,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2014,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5150554675118862,3003,1636,4.75911251980982,4.58263305322129,4046,7.276978417266189,1866,5.741538461538462,631,357,18,3,4,-156.6974881,-20.83160292,-0.248331994,-0.058351829,-4.234599462,-0.351143373,-0.006710934,-0.000983595,0.3629160063391441,0.3641456582633053,0.6078767123287668,3899,2050,6.676369863013699,4.261954261954264,4528,8.400742115027827,1889,5.32112676056338,584,481,6,12,1,24.98240127887928,-18.07175502,0.0427780843816423,-0.037571216,0.4550775542188235,-0.210116444,0.0007792423873609962,-0.000436833,0.4691780821917807,0.3700623700623701,249,412,3,13,0,-163,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2015,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5378787878787878,4110,1479,6.227272727272728,4.25,5586,9.248344370860924,1841,5.185915492957745,660,348,18,4,5,-2.765873301,-60.05775791,-0.004190717,-0.172579764,-0.946625399,-1.00894098,-0.001434281,-0.002899256,0.4333333333333332,0.3850574712643678,0.6132075471698115,4293,1735,6.75,3.916478555304741,4864,8.133779264214049,2060,5.282051282051281,636,443,9,6,2,76.2908449914465,-30.20721554,0.1199541587915825,-0.068187845,1.7819297123099869,-0.31479878,0.0028017762772169,-0.000710607,0.4779874213836478,0.3679458239277653,376,448,5,11,0,-72,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2016,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5582450832072616,3730,1640,5.642965204236006,4.237726098191214,5155,8.234824281150159,1848,5.0081300813008145,661,387,16,5,5,-45.94678742,-43.21544998,-0.069511025,-0.111667829,-2.552631454,-1.276320879,-0.003861772,-0.003297987,0.4175491679273827,0.372093023255814,0.5979202772963605,3444,1720,5.968804159445407,3.9722863741339496,4205,7.729779411764709,1636,4.742028985507246,577,433,7,1,3,0.161249202530735,-31.8061953,0.0002794613562058816,-0.073455416,0.700774033328155,-0.465755967,0.0012145130560279,-0.001075649,0.4246100519930675,0.3648960739030021,318,400,3,13,0,-82,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2017,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5693693693693695,3599,2278,6.484684684684687,4.44921875,4058,7.714828897338401,1932,6.113924050632912,555,512,13,4,3,29.350823475876304,-14.47484547,0.0528843666232008,-0.028271183,-1.4627267,-0.838642767,-0.002635544,-0.001637974,0.4504504504504505,0.376953125,0.5151515151515151,2720,1871,4.848484848484851,4.4760765550239245,4467,8.845544554455447,1331,4.6055363321799305,561,418,21,7,4,-149.44623,-42.78554164,-0.266392567,-0.102357755,-3.437147437,-1.348202717,-0.006126823,-0.003225365,0.3796791443850266,0.4114832535885167,417,268,10,6,0,149,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2018,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5566835871404399,3109,1729,5.260575296108286,4.217073170731706,3777,7.046641791044776,1825,5.547112462006078,591,410,13,11,4,-86.43131716,-31.53084238,-0.146245884,-0.076904494,-2.568411275,-0.736385895,-0.004345874,-0.001796063,0.4128595600676817,0.3975609756097561,0.582089552238806,3113,1889,5.807835820895524,4.508353221957043,3974,7.995975855130787,1639,5.253205128205128,536,419,11,2,2,-3.928597853,-24.31221494,-0.007329474,-0.058024379,-0.5587635,0.0197316456405157,-0.001042469,4.709223303226327e-05,0.4291044776119403,0.3460620525059666,245,316,5,11,0,-71,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2019,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5705329153605015,3768,1720,5.905956112852666,4.550264550264546,4470,7.602040816326528,1892,5.197802197802197,638,378,8,8,2,-30.37592115,-20.40082553,-0.047611162,-0.053970438,0.4169970887055197,-0.750148155,0.0006536004525164815,-0.001984519,0.4075235109717867,0.3756613756613756,0.5787610619469026,3780,2248,6.690265486725667,5.403846153846152,4323,8.361702127659575,2106,6.440366972477064,565,416,10,4,3,54.82508633420689,24.781762094441852,0.0970355510339946,0.0595715434962545,1.2345420219054504,0.8574166525107076,0.0021850301272662,0.0020610977223815,0.4707964601769909,0.4375,300,397,6,10,0,-97,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2020,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5819548872180452,3703,1525,5.56842105263158,4.538690476190477,4847,7.907014681892332,1707,4.410852713178293,665,336,16,7,1,-46.6298467,-12.23415546,-0.07012007,-0.036411177,-1.205982456,-0.249654877,-0.001813507,-0.00074302,0.4330827067669171,0.3779761904761904,0.6702898550724639,4233,2482,7.668478260869567,5.075664621676891,4362,8.183864915572235,2137,5.775675675675677,552,489,12,3,2,123.67718782529158,27.65162932710987,0.2240528764950932,0.0565472992374432,3.5495232746514604,1.2626296085500592,0.006430295787412,0.0025820646391616,0.5289855072463767,0.4335378323108385,306,492,1,15,0,-186,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2021,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.5658307210031349,3440,1764,5.391849529780566,4.569948186528499,4759,7.931666666666665,1639,4.552777777777779,638,386,17,7,4,-68.57668655,-22.00659381,-0.10748697,-0.057011901,-1.653786498,-0.53069238,-0.002592142,-0.001374851,0.4357366771159874,0.4455958549222799,0.6556521739130431,3877,2142,6.742608695652177,4.462499999999997,4044,7.461254612546126,1841,4.883289124668434,575,480,7,1,1,107.29681801958404,16.892768489596573,0.1866031617731894,0.0351932676866594,2.5515905614745007,1.1580926944155117,0.0044375488025643,0.0024126931133656,0.4991304347826085,0.4375,253,457,3,14,0,-204,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
2022,Jacksonville Jaguars,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-jacksonville-jaguars-team-logo-2-768x768.png,0.6273885350318471,3965,2131,6.313694267515922,4.865296803652969,4374,7.363636363636365,2029,5.149746192893399,628,438,9,6,7,71.35584274958597,-22.07066607,0.1136239534229077,-0.050389649,1.9762691101674288,-0.231977635,0.0031469253346615,-0.000529629,0.4936305732484077,0.4200913242009131,0.6006240249609984,4061,1962,6.335413416536664,4.265217391304349,4739,7.898333333333333,2068,5.371428571428573,641,460,14,6,6,0.5760893989394837,-23.74954458,0.0008987354117623822,-0.051629445,-0.01029248,1.0677652808109677,-1.61E-05,0.0023212288713281,0.4477379095163807,0.4282608695652174,404,350,9,8,0,54,Jacksonville Jaguars,EverBank Stadium,"Jacksonville, Florida",Florida,30.323471,-81.636528,Jaxson de Ville,,AFC,South,0,1993
1999,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5632183908045978,3210,2081,6.149425287356322,4.088408644400786,0,,0,0,522,509,13,4,4,38.30296634759996,-47.32521467,0.0733773301678162,-0.092976846,0.2371852706451956,-2.192001684,0.0004543779131133906,-0.004306487,0.4463601532567048,0.3339882121807465,0.5122749590834696,3442,1563,5.633387888707039,3.888059701492537,0,,0,,611,402,25,7,10,-89.57530104,-67.60266553,-0.146604421,-0.168165835,-2.804604675,-2.030275132,-0.004590188,-0.005050436,0.4042553191489362,0.3507462686567164,390,322,9,7,0,68,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2000,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5500000000000002,3831,1335,6.605172413793105,3.8472622478386183,0,,0,,580,347,14,6,4,37.656506758507,-44.48095324,0.0649250116525986,-0.128187185,-0.674868222,-1.059676549,-0.001163566,-0.003053823,0.4431034482758622,0.3371757925072043,0.608303249097473,3316,1759,5.985559566787003,4.168246445497631,0,,0,,554,422,14,3,9,49.88289981803838,-36.04420964,0.0900413354116216,-0.085412819,-0.247784364,-0.743784984,-0.000447264,-0.001762524,0.463898916967509,0.3696682464454975,355,354,7,9,0,1,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2001,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.528169014084507,3669,2010,6.459507042253522,4.466666666666665,0,,0,,568,450,24,4,4,-11.28824957,16.04951458050236,-0.019873679,0.0356655879566721,-1.280139623,-0.352093556,-0.002253767,-0.00078243,0.4278169014084506,0.44,0.5659655831739961,3166,2142,6.053537284894835,4.443983402489626,0,,0,,523,482,13,6,3,33.179762596614296,-7.643563777,0.0634412286742146,-0.015858016,-0.133465935,0.2908751012166182,-0.000255193,0.0006034753137274304,0.4493307839388146,0.3941908713692946,320,344,6,10,0,-24,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2002,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5793650793650795,3622,2380,7.186507936507937,5.129310344827585,0,,0,,504,464,13,0,1,97.35806588549868,60.707557259430544,0.1931707656458304,0.13083525271429,0.2064767008745669,2.286876981698903,0.0004096759937987454,0.0049286141846959,0.4543650793650794,0.4913793103448277,0.6200000000000004,4181,2077,6.432307692307695,4.8190255220417635,0,,0,,650,431,18,7,5,66.93959798221539,38.79954645136236,0.1029839968957157,0.0900221495391239,2.644064816556196,0.7159892911122515,0.0040677920254711,0.0016612280536247,0.4969230769230772,0.4686774941995359,467,399,8,8,0,68,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2003,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.6053571428571429,3981,1938,7.10892857142857,4.475750577367205,0,,0,,560,433,12,3,1,86.06340308024605,41.62944347440106,0.1536846483575821,0.0961419017884552,1.965551630948525,1.198517683187356,0.0035099136266937,0.0027679392221417,0.4607142857142858,0.5011547344110855,0.5617597292724196,3363,2352,5.690355329949238,5.285393258426968,0,,0,,591,445,25,4,4,-40.79549477,24.655479938685,-0.06902791,0.0554055728959214,-0.741034282,0.1548853847257223,-0.001253865,0.00034805704432746485,0.4483925549915397,0.4202247191011235,484,332,13,3,0,152,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2004,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.6239460370994943,4408,2298,7.433389544688026,4.728395061728396,0,,0,,593,486,17,5,4,137.3116016719731,51.87803991079988,0.2315541343540866,0.1067449380880657,2.853226957574501,0.2683585099036862,0.0048115125760109,0.000552178003917052,0.5059021922428333,0.5,0.5531914893617021,4205,1849,7.455673758865245,4.827676240208878,0,,0,,564,383,13,3,4,101.58936933421938,22.02801279194828,0.1801229952734384,0.0575143937126588,2.611535372974693,1.2904853053702854,0.0046303818669764,0.0033694133299485,0.4326241134751772,0.4412532637075717,483,435,7,9,0,48,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2005,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5892193308550185,3812,2398,7.085501858736062,4.75793650793651,0,,0,,538,504,10,7,4,66.62596360978316,32.558913178576745,0.1238400810590765,0.0646010182114615,1.693431706793891,1.3887027896473831,0.0031476425776838,0.0027553626778717,0.4739776951672862,0.4365079365079364,0.5508474576271186,3682,1582,6.240677966101697,4.207446808510638,0,,0,,590,376,16,6,6,36.77479936941825,-33.59804706,0.0623301684227428,-0.089356508,0.5413628840912444,-1.033435192,0.000917564210324144,-0.002748498,0.4423728813559321,0.3882978723404256,403,325,10,6,0,78,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2006,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5528455284552847,3002,2155,6.101626016260165,4.318637274549096,3693,8.24330357142857,1314,4.84870848708487,492,499,12,7,4,10.428235427240748,-16.03699365,0.0211956004618715,-0.032138264,-0.081749727,-0.435157651,-0.000166158,-0.000872059,0.4329268292682928,0.3867735470941883,0.591337099811676,3333,1939,6.276836158192092,4.289823008849558,3696,7.4216867469879535,1487,4.766025641025641,531,452,15,9,4,-6.937723768,-12.35222296,-0.013065393,-0.027327927,-0.457773839,-0.361183153,-0.000862098,-0.000799078,0.4557438794726929,0.4026548672566374,331,315,9,7,0,16,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2007,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5420711974110034,3181,1255,5.1472491909385125,3.311345646437995,4371,7.833333333333334,1501,4.5075075075075075,618,379,20,9,1,-81.55377317,-59.70695803,-0.131964034,-0.157538148,-1.920938498,-2.156266058,-0.003108315,-0.005689356,0.4045307443365696,0.3245382585751981,0.5575757575757576,3018,2112,6.0969696969696985,4.601307189542483,3808,8.332603938730859,1358,4.920289855072464,495,459,14,5,2,-23.13753884,-22.76173278,-0.046742503,-0.049589832,-0.874995592,0.2978742796373815,-0.001767668,0.0006489635721947411,0.4262626262626263,0.4139433551198257,226,335,4,12,0,-109,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2008,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.537261698440208,3131,1818,5.4263431542461,4.887096774193547,4462,8.340186915887855,1331,4.307443365695794,577,372,16,2,4,-38.99942517,-15.61383708,-0.067589992,-0.04197268,-1.00259268,-0.382880336,-0.001737596,-0.001029248,0.4228769497400346,0.4086021505376346,0.6516853932584268,3750,2560,7.02247191011236,5.224489795918367,4056,7.799999999999996,1728,4.96551724137931,534,490,13,6,9,57.18192648202698,19.619882064597668,0.1070822593296385,0.0400405756420359,2.167916087970754,0.0644603396138996,0.0040597679550014,0.0001315517134977456,0.5149812734082397,0.4428571428571427,291,440,2,14,0,-149,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2009,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5129533678756477,2917,1920,5.037996545768565,4.413793103448271,4318,8.131826741996232,1305,4.3939393939393945,579,435,17,2,6,-91.55549035,-51.88582867,-0.158126926,-0.119277767,-1.748061934,-1.539889196,-0.003019105,-0.003539975,0.3609671848013816,0.3517241379310344,0.5698113207547171,3706,2520,6.992452830188677,4.88372093023256,4389,8.691089108910894,1865,6.1960132890365465,530,516,15,7,5,25.711549329096187,5.430002887269978,0.0485123572247102,0.010523261409438,0.4564518013526172,1.520785017671905,0.0008612298138728731,0.0029472577861858,0.4415094339622641,0.4205426356589146,294,424,4,12,0,-130,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2010,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5436507936507935,2968,2636,5.888888888888892,4.810218978102191,3896,8.289361702127657,1495,5.476190476190477,504,548,8,2,3,42.537221557506626,-9.810574904,0.0843992491220375,-0.017902509,0.9876691243012804,0.6301064454183062,0.0019596609609152,0.0011498292799604,0.4464285714285716,0.3941605839416059,0.5170178282009725,3519,1774,5.703403565640191,4.46851385390428,5536,9.57785467128028,1608,5.0407523510971775,617,397,14,3,4,-2.978563723,-26.58263698,-0.004827494,-0.066958783,-0.472647261,-0.777569026,-0.000766041,-0.001958612,0.406807131280389,0.3753148614609571,366,326,10,6,0,40,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2011,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5630885122410547,3080,1904,5.800376647834278,3.9916142557651986,4205,8.460764587525153,1392,4.655518394648831,531,477,18,3,3,-35.6668574,-55.53074838,-0.067169223,-0.116416663,0.3839358810568652,-1.788617413,0.0007230430905025654,-0.003749722,0.4105461393596985,0.3605870020964362,0.5320910973084889,3223,2120,6.672877846790887,4.248496993987975,4691,10.35540838852097,1445,5.622568093385215,483,499,20,3,4,27.22047394770977,-29.33462439,0.0563570889186543,-0.058786822,-0.252639134,-1.266401433,-0.000523062,-0.002537879,0.4534161490683231,0.3807615230460922,212,338,7,9,0,-126,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2012,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5363457760314342,2713,2400,5.330058939096271,4.84848484848485,3919,8.373931623931623,1261,4.619047619047619,509,495,20,6,9,-124.8984752,-24.75840187,-0.245380108,-0.050016973,-2.427868998,-0.98245469,-0.00476988,-0.001984757,0.3850687622789785,0.4181818181818182,0.5693877551020408,3533,2191,7.210204081632654,4.701716738197424,4225,9.125269978401729,1669,5.982078853046591,490,466,7,1,2,104.18703088761625,-7.251103685,0.2126265936481966,-0.015560308,1.4192833166878742,0.4748267825559309,0.0028964965646691,0.0010189415934676,0.4714285714285713,0.3798283261802574,211,425,2,14,0,-214,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
2013,Kansas City Chiefs,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/nfl-kansas-city-chiefs-team-logo-2-768x768.png,0.5711835334476844,3340,2072,5.728987993138939,4.898345153664301,3555,6.559040590405904,1904,5.717717717717717,583,423,8,6,4,19.065986179423017,8.073098592165291,0.0327032352991818,0.0190853394613835,-0.426413798,0.3382769910357823,-0.000731413,0.0007997091986661537,0.4322469982847341,0.4066193853427895,0.5235109717868337,3962,1931,6.210031347962378,4.586698337292161,5095,8.63559322033898,2125,6.362275449101795,638,421,21,7,4,-36.50010634,-27.52001606,-0.057210198,-0.065368209,-0.671087016,-0.607185869,-0.001051861,-0.001442247,0.3996865203761757,0.351543942992874,430,305,11,5,0,125,Kansas City Chiefs,Arrowhead Stadium,"Kansas City, Missouri",Missouri,39.048786,-94.484566,K.C. Wolf,,AFC,West,3,1959
